VERY_EARLY_MORNING,EARLY_AM,AM_PEAK,MIDDAY_SCHOOL,MIDDAY_BASE,PM_PEAK,EVENING,LATE_EVENING,NIGHT
4,33,125,263,243,532,467,127,23
381,1304,5568,4451,6702,7881,4756,1206,176
8,47,195,592,527,1218,1077,318,59
4,17,34,37,49,73,47,15,1
44,127,354,541,439,1049,513,59,6
15,78,496,702,823,1448,1187,343,64
0,0,0,0,0,0,0,0,0
12,70,404,738,769,1443,1225,349,67
14,75,465,728,812,1457,1207,341,64
12,66,368,727,729,1429,1222,349,66
450,1585,7534,4674,7858,7944,4675,1221,173
2,19,65,188,154,450,373,90,17
11,40,105,213,213,402,328,107,13
44,128,350,587,465,1168,587,65,7
45,134,365,609,496,1245,635,70,8
37,114,311,408,348,778,355,49,5
1,4,34,35,53,62,46,12,1
1,10,63,65,82,104,82,26,3
0,0,0,0,0,0,0,0,0
3,24,77,240,202,590,473,112,21
160,601,2505,2429,3282,4780,3056,685,105
2,9,31,67,58,161,140,36,7
17,64,183,270,199,518,241,41,4
0,3,9,19,21,43,47,12,5
2,18,59,163,135,383,320,81,15
49,167,511,666,654,1403,727,79,9
9,32,76,169,165,338,273,90,11
681,1631,5919,3379,5447,5412,2844,1041,113
5,34,122,313,275,647,577,161,29
5,37,127,377,315,779,689,198,35
6,47,155,367,363,882,651,153,26
343,750,3765,1922,3251,3114,2031,974,87
0,0,0,0,0,0,0,0,0
151,586,2386,2522,3132,5381,3637,823,134
27,116,466,597,695,1308,898,204,36
6,44,143,360,350,864,637,150,26
78,193,1220,789,1082,1624,800,175,13
44,136,409,675,585,1406,726,75,8
35,122,297,298,385,520,415,135,15
6,26,57,105,113,223,177,55,7
48,180,473,390,560,648,530,171,21
30,99,272,352,296,681,315,46,5
19,68,192,294,219,576,271,43,4
111,420,2958,1347,2328,2541,1544,815,72
51,193,538,446,666,752,580,183,22
8,44,177,538,468,1098,981,289,52
476,1659,7760,4422,7804,7456,4096,1011,138
10,57,279,669,625,1344,1175,344,64
74,239,748,748,1089,1358,1004,309,36
40,127,359,449,395,833,390,52,5
0,0,0,0,0,0,0,0,0
4,18,39,55,63,113,75,22,2
7,54,173,379,386,905,677,161,27
11,61,320,698,678,1385,1200,346,66
73,130,1018,792,1056,1540,820,183,17
1,3,27,20,34,32,22,7,0
6,43,135,342,330,808,597,142,24
2,20,66,201,161,490,409,100,19
2,12,77,102,125,185,148,43,7
64,217,640,554,842,957,709,241,29
2,10,38,90,75,219,195,54,9
17,61,176,250,185,478,226,39,4
3,18,92,199,190,375,335,96,18
2,14,48,124,101,293,251,66,12
2,12,81,129,139,249,210,62,11
10,47,146,211,139,419,196,35,3
