num_trains,name,t1,t2,t3,t4,t5,t6,t7,t8,t9
20,s_1,7.0,6.0,14.0,6.0,14.0,6.0,14.0,6.0,13.0
20,x_1,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
20,r_1,0.0,7.0,6.0,14.0,6.0,14.0,6.0,14.0,6.0
40,s_1,7.0,12.0,28.0,12.0,29.0,12.0,24.0,2.0,1.0
40,x_1,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
40,r_1,0.0,7.0,12.0,28.0,11.0,28.0,12.0,24.0,2.0
60,s_1,7.0,12.0,45.0,37.0,49.0,22.0,11.0,2.0,1.0
60,x_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,r_1,0.0,7.0,6.0,21.0,11.0,38.0,22.0,11.0,2.0
80,s_1,7.0,18.0,53.0,47.0,61.0,33.0,16.0,6.0,5.0
80,x_1,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
80,r_1,0.0,2.0,3.0,20.0,11.0,39.0,22.0,12.0,2.0
